product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
1,SKU-000001,Elite Kit 1,Descripción detallada del producto 1,4,2,4,260.57,148.52,32.9,true,2023-07-16,2026-02-21
2,SKU-000002,Mini Producto 2,Descripción detallada del producto 2,8,3,6,135.97,81.58,16.5,false,2022-07-31,2024-09-26
3,SKU-000003,Elite Set 3,Descripción detallada del producto 3,5,15,5,301.31,183.8,34.4,true,2022-03-10,2024-11-01
4,SKU-000004,Mega Equipo 4,Descripción detallada del producto 4,9,7,8,32.34,14.88,37.9,true,2023-07-24,2025-06-14
5,SKU-000005,Max Equipo 5,Descripción detallada del producto 5,8,10,3,478.84,258.57,14.4,true,2023-04-03,2024-09-20
6,SKU-000006,Max Gadget 6,Descripción detallada del producto 6,3,14,3,277.3,146.97,19.1,false,2022-04-28,2025-11-15
7,SKU-000007,Mini Dispositivo 7,Descripción detallada del producto 7,7,7,8,193.83,100.79,48.6,true,2022-04-05,2025-09-21
8,SKU-000008,Mini Dispositivo 8,Descripción detallada del producto 8,9,13,7,490.88,319.07,34.3,true,2023-12-31,2025-01-19
9,SKU-000009,Super Equipo 9,Descripción detallada del producto 9,9,6,6,112.79,64.29,38,true,2023-09-28,2024-05-07
10,SKU-000010,Premium Pack 10,Descripción detallada del producto 10,6,12,1,104.69,70.14,1.4,true,2023-01-12,2024-01-05
11,SKU-000011,Max Herramienta 11,Descripción detallada del producto 11,7,10,4,80.79,50.9,29.6,true,2023-11-27,2024-07-31
12,SKU-000012,Super Widget 12,Descripción detallada del producto 12,3,4,3,155.89,71.71,18.8,true,2023-10-11,2025-08-12
13,SKU-000013,Mini Gadget 13,Descripción detallada del producto 13,4,13,3,82.49,33,22.7,true,2023-08-14,2024-02-05
14,SKU-000014,Premium Producto 14,Descripción detallada del producto 14,10,2,6,126.22,58.06,40.2,true,2023-12-18,2025-10-20
15,SKU-000015,Mega Kit 15,Descripción detallada del producto 15,8,7,7,480.15,192.06,12.1,true,2022-12-08,2024-12-24
16,SKU-000016,Mega Artículo 16,Descripción detallada del producto 16,7,7,1,326.89,205.94,25.1,true,2023-01-06,2026-02-15
17,SKU-000017,Ultra Equipo 17,Descripción detallada del producto 17,6,11,1,68.92,46.18,4.3,true,2023-05-01,2024-03-22
18,SKU-000018,Mega Producto 18,Descripción detallada del producto 18,9,7,7,111.06,75.52,7.9,true,2023-09-05,2024-08-29
19,SKU-000019,Premium Equipo 19,Descripción detallada del producto 19,5,11,8,475.4,299.5,49.4,true,2022-10-30,2024-05-13
20,SKU-000020,Elite Widget 20,Descripción detallada del producto 20,8,12,3,44.45,18.67,28.9,true,2022-08-13,2024-11-28
21,SKU-000021,Smart Widget 21,Descripción detallada del producto 21,5,12,5,378.89,231.12,0.7,true,2022-04-11,2024-11-20
22,SKU-000022,Super Set 22,Descripción detallada del producto 22,7,3,4,404.82,178.12,3,true,2022-08-31,2024-08-06
23,SKU-000023,Pro Gadget 23,Descripción detallada del producto 23,10,1,8,247.28,140.95,23,true,2022-01-11,2025-10-24
24,SKU-000024,Básico Artículo 24,Descripción detallada del producto 24,10,13,6,127.52,89.26,15.2,true,2023-04-07,2025-10-03
25,SKU-000025,Mini Widget 25,Descripción detallada del producto 25,4,1,7,192.51,80.85,28.3,true,2022-03-01,2025-02-28
26,SKU-000026,Ultra Kit 26,Descripción detallada del producto 26,6,3,1,340.88,136.35,4.6,true,2023-02-10,2025-08-30
27,SKU-000027,Mega Equipo 27,Descripción detallada del producto 27,6,4,1,419.76,172.1,38.6,true,2023-03-02,2024-02-25
28,SKU-000028,Mini Dispositivo 28,Descripción detallada del producto 28,4,6,5,339.95,183.57,26.3,true,2022-12-02,2024-03-03
29,SKU-000029,Super Widget 29,Descripción detallada del producto 29,2,15,6,319.49,172.52,27.2,true,2022-03-19,2025-01-01
30,SKU-000030,Elite Equipo 30,Descripción detallada del producto 30,3,1,6,30.68,13.19,45.4,true,2022-06-03,2024-12-10
31,SKU-000031,Smart Widget 31,Descripción detallada del producto 31,8,8,5,189.42,102.29,21.7,false,2023-07-26,2025-01-09
32,SKU-000032,Premium Equipo 32,Descripción detallada del producto 32,6,13,1,222.65,111.33,12.8,true,2022-12-12,2025-05-31
33,SKU-000033,Mini Herramienta 33,Descripción detallada del producto 33,7,6,1,119.79,57.5,16,true,2023-11-29,2025-04-26
34,SKU-000034,Smart Set 34,Descripción detallada del producto 34,10,15,1,194.52,89.48,5.9,false,2022-09-04,2025-02-10
35,SKU-000035,Mega Producto 35,Descripción detallada del producto 35,5,8,7,223.98,120.95,12,true,2023-01-05,2025-01-28
36,SKU-000036,Pro Herramienta 36,Descripción detallada del producto 36,2,15,7,274.9,148.45,46.9,true,2022-07-30,2024-05-01
37,SKU-000037,Smart Kit 37,Descripción detallada del producto 37,3,10,1,38.31,18.01,43.5,true,2023-05-24,2025-11-04
38,SKU-000038,Super Pack 38,Descripción detallada del producto 38,4,7,2,236.98,165.89,49.8,false,2023-12-17,2025-06-03
39,SKU-000039,Elite Artículo 39,Descripción detallada del producto 39,9,9,6,379.54,170.79,46.3,true,2022-02-09,2025-09-02
40,SKU-000040,Pro Herramienta 40,Descripción detallada del producto 40,6,14,4,240.44,146.67,25.6,true,2022-08-22,2025-11-27
41,SKU-000041,Pro Artículo 41,Descripción detallada del producto 41,3,11,3,61.76,37.06,23.4,true,2023-04-30,2026-01-10
42,SKU-000042,Básico Herramienta 42,Descripción detallada del producto 42,3,10,3,293.85,155.74,33.8,true,2022-09-30,2024-07-12
43,SKU-000043,Elite Equipo 43,Descripción detallada del producto 43,2,15,5,301.83,144.88,25.1,true,2022-06-11,2024-05-02
44,SKU-000044,Mega Equipo 44,Descripción detallada del producto 44,10,3,8,33.27,13.64,23.3,true,2023-03-29,2025-01-28
45,SKU-000045,Max Kit 45,Descripción detallada del producto 45,8,13,7,425.62,212.81,39.4,true,2022-09-16,2024-02-05
46,SKU-000046,Max Gadget 46,Descripción detallada del producto 46,10,6,1,344.76,196.51,35.5,true,2022-10-28,2025-05-17
47,SKU-000047,Básico Set 47,Descripción detallada del producto 47,3,14,8,252.09,138.65,19.9,true,2022-06-06,2024-04-14
48,SKU-000048,Smart Widget 48,Descripción detallada del producto 48,4,2,2,185.45,81.6,28.1,true,2022-10-28,2025-08-08
49,SKU-000049,Mini Kit 49,Descripción detallada del producto 49,3,10,1,473.45,236.73,25,true,2022-08-05,2024-01-01
50,SKU-000050,Max Herramienta 50,Descripción detallada del producto 50,1,6,5,167.01,100.21,39.5,true,2023-11-23,2024-11-21
51,SKU-000051,Mega Widget 51,Descripción detallada del producto 51,4,1,5,300.89,153.45,13.3,true,2022-05-04,2026-01-10
52,SKU-000052,Elite Set 52,Descripción detallada del producto 52,6,14,5,268.32,185.14,29.5,true,2023-12-06,2025-03-18
53,SKU-000053,Mini Pack 53,Descripción detallada del producto 53,7,10,1,81.62,36.73,27.4,true,2022-02-21,2025-08-19
54,SKU-000054,Pro Kit 54,Descripción detallada del producto 54,10,3,3,253.69,101.48,48.2,true,2022-08-07,2025-10-30
55,SKU-000055,Pro Kit 55,Descripción detallada del producto 55,9,12,5,7.99,4.95,24.4,true,2022-12-25,2025-08-15
56,SKU-000056,Elite Kit 56,Descripción detallada del producto 56,4,15,2,470.14,206.86,30.2,true,2023-05-31,2025-04-02
57,SKU-000057,Básico Widget 57,Descripción detallada del producto 57,8,1,6,134,75.04,21.3,true,2022-10-04,2024-08-20
58,SKU-000058,Max Pack 58,Descripción detallada del producto 58,6,9,8,335.84,144.41,13.6,true,2023-11-18,2024-06-21
59,SKU-000059,Mega Gadget 59,Descripción detallada del producto 59,7,1,2,53.72,22.56,4.6,true,2022-05-29,2024-04-20
60,SKU-000060,Básico Set 60,Descripción detallada del producto 60,5,10,7,406.54,207.34,6,false,2023-03-09,2025-05-26
61,SKU-000061,Premium Gadget 61,Descripción detallada del producto 61,1,2,5,198.14,128.79,4.3,false,2022-07-05,2024-09-05
62,SKU-000062,Smart Gadget 62,Descripción detallada del producto 62,3,3,1,124,71.92,19.9,true,2022-11-11,2025-11-04
63,SKU-000063,Mega Dispositivo 63,Descripción detallada del producto 63,10,14,6,35.03,17.87,14.4,true,2022-12-11,2024-03-12
64,SKU-000064,Pro Herramienta 64,Descripción detallada del producto 64,4,4,2,312.55,153.15,30.7,true,2022-09-12,2024-06-19
65,SKU-000065,Super Producto 65,Descripción detallada del producto 65,5,10,2,448.5,304.98,22.8,true,2023-03-03,2025-10-13
66,SKU-000066,Max Dispositivo 66,Descripción detallada del producto 66,4,10,3,57.69,25.38,42.7,true,2022-08-10,2025-03-10
67,SKU-000067,Premium Set 67,Descripción detallada del producto 67,4,5,5,311.43,149.49,37.5,true,2022-05-20,2024-04-13
68,SKU-000068,Super Dispositivo 68,Descripción detallada del producto 68,4,8,7,454.12,254.31,27.2,false,2023-04-30,2024-10-07
69,SKU-000069,Elite Producto 69,Descripción detallada del producto 69,1,6,6,164.06,113.2,26,true,2023-10-13,2026-02-18
70,SKU-000070,Super Gadget 70,Descripción detallada del producto 70,2,4,8,396.75,230.12,27.2,true,2023-09-27,2025-03-19
71,SKU-000071,Ultra Pack 71,Descripción detallada del producto 71,5,10,8,120.07,66.04,13,true,2023-05-26,2025-09-26
72,SKU-000072,Pro Gadget 72,Descripción detallada del producto 72,10,7,1,287.49,120.75,20.3,true,2022-03-13,2025-04-11
73,SKU-000073,Pro Set 73,Descripción detallada del producto 73,3,3,3,292.48,181.34,24.6,false,2022-08-04,2025-04-21
74,SKU-000074,Ultra Set 74,Descripción detallada del producto 74,8,8,3,194.94,115.01,37.1,true,2023-08-22,2024-05-30
75,SKU-000075,Super Producto 75,Descripción detallada del producto 75,7,12,3,173.79,83.42,19.8,false,2022-05-08,2024-03-20
76,SKU-000076,Pro Pack 76,Descripción detallada del producto 76,5,8,4,24.32,14.11,47.3,true,2023-09-13,2026-03-05
77,SKU-000077,Max Widget 77,Descripción detallada del producto 77,8,8,4,438.57,280.68,43.3,true,2022-02-22,2026-03-06
78,SKU-000078,Super Gadget 78,Descripción detallada del producto 78,10,2,1,212.2,137.93,8.7,false,2023-05-03,2025-03-19
79,SKU-000079,Premium Dispositivo 79,Descripción detallada del producto 79,1,14,6,371.19,259.83,17.4,true,2023-04-21,2025-02-22
80,SKU-000080,Mega Herramienta 80,Descripción detallada del producto 80,6,3,1,99.12,45.6,40.6,false,2023-09-27,2025-05-01
81,SKU-000081,Pro Pack 81,Descripción detallada del producto 81,6,13,4,112.67,47.32,37.6,true,2023-02-15,2024-12-15
82,SKU-000082,Smart Set 82,Descripción detallada del producto 82,10,10,6,384.62,200,0.1,true,2022-06-17,2024-01-23
83,SKU-000083,Ultra Artículo 83,Descripción detallada del producto 83,6,14,2,261.57,170.02,32.4,true,2022-12-27,2025-12-26
84,SKU-000084,Elite Herramienta 84,Descripción detallada del producto 84,8,14,2,463.93,190.21,8.1,true,2022-01-29,2025-04-19
85,SKU-000085,Premium Set 85,Descripción detallada del producto 85,5,15,2,280.61,193.62,15.2,true,2022-12-07,2024-08-13
86,SKU-000086,Premium Producto 86,Descripción detallada del producto 86,4,9,6,458.49,247.58,30.6,true,2023-03-15,2025-09-10
87,SKU-000087,Smart Pack 87,Descripción detallada del producto 87,2,6,4,62.98,37.79,12.7,true,2022-09-17,2025-06-27
88,SKU-000088,Super Pack 88,Descripción detallada del producto 88,2,12,7,325.82,159.65,26.6,true,2023-09-13,2025-11-07
89,SKU-000089,Smart Set 89,Descripción detallada del producto 89,8,12,2,31.13,20.23,41.5,true,2022-12-02,2024-08-10
90,SKU-000090,Básico Dispositivo 90,Descripción detallada del producto 90,9,7,1,408.87,265.77,24,true,2023-07-01,2025-11-02
91,SKU-000091,Mini Herramienta 91,Descripción detallada del producto 91,3,2,6,212.53,138.14,40,true,2022-04-29,2024-09-09
92,SKU-000092,Ultra Set 92,Descripción detallada del producto 92,4,4,8,266.71,120.02,13.7,true,2022-09-25,2024-02-02
93,SKU-000093,Elite Producto 93,Descripción detallada del producto 93,7,10,7,466.68,238.01,7.7,true,2023-01-20,2024-02-16
94,SKU-000094,Premium Pack 94,Descripción detallada del producto 94,2,7,8,293.49,140.88,33.8,true,2023-12-12,2025-06-26
95,SKU-000095,Super Gadget 95,Descripción detallada del producto 95,8,4,5,324.44,227.11,49.5,true,2022-11-22,2024-05-11
96,SKU-000096,Pro Gadget 96,Descripción detallada del producto 96,6,13,4,244.57,119.84,4.2,true,2022-05-10,2025-11-10
97,SKU-000097,Smart Artículo 97,Descripción detallada del producto 97,1,14,3,128.06,65.31,27.9,false,2023-07-21,2024-05-29
98,SKU-000098,Pro Equipo 98,Descripción detallada del producto 98,4,10,1,489.85,210.64,7.3,true,2023-04-15,2024-01-20
99,SKU-000099,Max Pack 99,Descripción detallada del producto 99,10,13,8,227.88,125.33,14.4,true,2023-10-11,2024-03-01
100,SKU-000100,Ultra Producto 100,Descripción detallada del producto 100,8,7,2,445.88,200.65,6,false,2022-05-19,2025-12-24